ts_utc,symbol,reason,extra
2025-09-28T06:13:27+00:00,ETHUSDT,main_ema_guard,"dist_pct=-0.0334, slope=-0.0014, neutral_band=0.0043"
2025-09-28T06:13:27+00:00,ETHUSDT,vol_fail,"bbw=0.0047, mult=1.05"
2025-09-28T06:13:28+00:00,SOLUSDT,main_ema_guard,"dist_pct=-0.0549, slope=-0.0022, neutral_band=0.0058"
2025-09-28T06:13:28+00:00,SOLUSDT,vol_fail,"bbw=0.0049, mult=1.05"
2025-09-28T06:13:29+00:00,BNBUSDT,main_ema_guard,"dist_pct=-0.0090, slope=-0.0003, neutral_band=0.0043"
2025-09-28T06:13:29+00:00,BNBUSDT,vol_fail,"bbw=0.0091, mult=1.05"
2025-09-28T06:13:35+00:00,ETHUSDT,main_ema_guard,"dist_pct=-0.0335, slope=-0.0014, neutral_band=0.0043"
2025-09-28T06:13:35+00:00,ETHUSDT,vol_fail,"bbw=0.0047, mult=1.05"
2025-09-28T06:13:35+00:00,SOLUSDT,main_ema_guard,"dist_pct=-0.0549, slope=-0.0022, neutral_band=0.0058"
2025-09-28T06:13:36+00:00,SOLUSDT,vol_fail,"bbw=0.0049, mult=1.05"
2025-09-28T06:13:36+00:00,BNBUSDT,main_ema_guard,"dist_pct=-0.0090, slope=-0.0003, neutral_band=0.0043"
2025-09-28T06:13:37+00:00,BNBUSDT,vol_fail,"bbw=0.0091, mult=1.05"
2025-09-28T06:13:42+00:00,ETHUSDT,main_ema_guard,"dist_pct=-0.0335, slope=-0.0014, neutral_band=0.0043"
2025-09-28T06:13:42+00:00,ETHUSDT,vol_fail,"bbw=0.0047, mult=1.05"
2025-09-28T06:13:43+00:00,SOLUSDT,main_ema_guard,"dist_pct=-0.0549, slope=-0.0022, neutral_band=0.0058"
2025-09-28T06:13:43+00:00,SOLUSDT,vol_fail,"bbw=0.0049, mult=1.05"
2025-09-28T06:13:43+00:00,BNBUSDT,main_ema_guard,"dist_pct=-0.0088, slope=-0.0003, neutral_band=0.0043"
2025-09-28T06:13:44+00:00,BNBUSDT,vol_fail,"bbw=0.0091, mult=1.05"
2025-09-28T06:13:49+00:00,ETHUSDT,main_ema_guard,"dist_pct=-0.0334, slope=-0.0014, neutral_band=0.0043"
2025-09-28T06:13:50+00:00,ETHUSDT,vol_fail,"bbw=0.0047, mult=1.05"
2025-09-28T06:13:50+00:00,SOLUSDT,main_ema_guard,"dist_pct=-0.0549, slope=-0.0022, neutral_band=0.0058"
2025-09-28T06:13:50+00:00,SOLUSDT,vol_fail,"bbw=0.0049, mult=1.05"
2025-09-28T06:13:51+00:00,BNBUSDT,main_ema_guard,"dist_pct=-0.0088, slope=-0.0003, neutral_band=0.0043"
2025-09-28T06:13:51+00:00,BNBUSDT,vol_fail,"bbw=0.0091, mult=1.05"
2025-09-28T06:13:56+00:00,ETHUSDT,main_ema_guard,"dist_pct=-0.0334, slope=-0.0014, neutral_band=0.0043"
2025-09-28T06:13:57+00:00,ETHUSDT,vol_fail,"bbw=0.0047, mult=1.05"
2025-09-28T06:13:57+00:00,SOLUSDT,main_ema_guard,"dist_pct=-0.0549, slope=-0.0022, neutral_band=0.0058"
2025-09-28T06:13:58+00:00,SOLUSDT,vol_fail,"bbw=0.0049, mult=1.05"
2025-09-28T06:13:58+00:00,BNBUSDT,main_ema_guard,"dist_pct=-0.0087, slope=-0.0003, neutral_band=0.0043"
2025-09-28T06:13:58+00:00,BNBUSDT,vol_fail,"bbw=0.0091, mult=1.05"
2025-09-28T06:14:04+00:00,ETHUSDT,main_ema_guard,"dist_pct=-0.0334, slope=-0.0014, neutral_band=0.0043"
2025-09-28T06:14:04+00:00,ETHUSDT,vol_fail,"bbw=0.0047, mult=1.05"
2025-09-28T06:14:04+00:00,SOLUSDT,main_ema_guard,"dist_pct=-0.0549, slope=-0.0022, neutral_band=0.0058"
2025-09-28T06:14:05+00:00,SOLUSDT,vol_fail,"bbw=0.0049, mult=1.05"
2025-09-28T06:14:05+00:00,BNBUSDT,main_ema_guard,"dist_pct=-0.0088, slope=-0.0003, neutral_band=0.0043"
